DUID,StationName,FuelSource
RRSF1,Ross River Solar Farm,Solar
RUGBYR1,Rugby Run Solar Farm,Solar
SALTCRK1,Salt Creek Wind Farm,Wind
SAPHWF1,Sapphire Wind Farm,Wind
SEBSF1,Sebastopol Solar Farm,Solar
SKSF1,South Keswick Solar Farm,Solar
SMCSF1,Sun Metals Solar Farm,Solar
SNOWNTH1,Snowtown Stage 2 North Wind Farm,Wind
SNOWSTH1,Snowtown Stage 2 South Wind Farm,Wind
SNOWTWN1,Snowtown Stage 1 Wind Farm,Wind
SRSF1,Susan River Solar Farm,Solar
STARHLWF,Starfish Hill Wind Farm,Wind
STOCKYD1,Stockyard Hill Wind Farm,Wind
STWF1,Silverton Wind Farm,Wind
SUNRSF1,Sunraysia Solar Farm,Solar
SUNTPSF1,Suntop Solar Farm,Solar
TARALGA1,Taralga Wind Farm,Wind
TBSF1,Tailem Bend Solar Farm,Solar
TIMWEST,Timboon West Wind Farm,Wind
TOORAWF,Toora Wind Farm,Wind
VALDORA1,Valdora Solar Farm,Solar
WAGGNSF1,Wagga North Solar Farm,Solar
WARWSF1,Warwick 1 Solar Farm,Solar
WARWSF2,Warwick 2 Solar Farm,Solar
WATERLWF,Waterloo Wind Farm,Wind
WAUBRAWF,Waubra Wind Farm,Wind
WDGPH1,Western Downs Green Power Hub,Solar
WELLSF1,Wellington Solar Farm,Solar
WEMENSF1,Wemen Solar Farm,Solar
WGWF1,Willogoleche Wind Farm,Wind
WHILL1,Windy Hill Wind Farm,Wind
WHITSF1,Whitsunday Solar Farm,Solar
WINTSF1,Winton Solar Farm,Solar
WONWP,Wonthaggi Wind Farm,Wind
WOODLWN1,Woodlawn Wind Farm,Wind
WOOLNTH1,Woolnorth Studland Bay Bluff Point Wind Farm,Wind
WPWF,Wattle Point Wind Farm,Wind
WRSF1,White Rock Solar Farm,Solar
WRWF1,White Rock Wind Farm,Wind
YAMBUKWF,Yambuk Wind Farm,Wind
YARANSF1,Yarranlea Solar Farm,Solar
YATSF1,Yatpool Solar Farm,Solar
YAWWF1,Yawong Wind Farm,Wind
YENDWF1,Yendon Wind Farm,Wind
YSWF1,Yaloak South Wind Farm,Wind
